Number	Name	Canton	Longitude	Latitude
1	Chevroux	Vaud	6.9069294	46.8883582
2	Vaugondry	Vaud	6.6362255	46.8467152
3	L'Auberson	Vaud	6.4590043	46.8178516
4	Vallorbe	Vaud	6.3796258	46.711414
5	Le Sentier	Vaud	6.2358557	46.6122131
6	Longirod	Vaud	6.2585316	46.4944282
7	Commugny	Vaud	6.176213	46.320929
8	Vullierens	Vaud	6.4816044	46.5727052
9	Arnex	Vaud	6.5189028	46.6980681
10	Villars-le-Terroir	Vaud	6.639461	46.657569
11	Prahins	Vaud	6.7383916	46.7331778
12	Montpreveyres	Vaud	6.742199	46.582048
13	Charnex	Vaud	6.536765	46.5613135
14	Roche	Vaud	6.9290939	46.3614134
15	Ormont-Dessus	Vaud	7.158066	46.3514789
16	Château-d'Oex	Vaud	7.1285556	46.4732964
17	St-Gingolph	Valais	6.8047071	46.3931549
18	Collombey	Valais	6.9459222	46.2679563
19	Champéry	Valais	6.8693248	46.1778839
20	Martigny	Valais	7.073483	46.101706
21	Orsières	Valais	7.1463639	46.0308094
22	Lourtier	Valais	7.265844	46.049002
23	Fully	Valais	7.1147534	46.1385798
24	Conthey	Valais	7.3083227	46.2334191
25	Nendaz	Valais	7.3047431	46.1855093
26	Savièse	Valais	7.3509003	46.2535376
27	Ayent	Valais	7.4081901	46.2771888
28	Miège	Valais	7.5473871	46.3119557
29	Grône	Valais	7.4580917	46.2508508
30	Évolène	Valais	7.4963134	46.1125593
31	Grimentz	Valais	7.5763635	46.1801158
32	Collex	Genève	6.1235296	46.2761547
33	Vernier	Genève	6.084291	46.217026
34	Laconnex	Genève	6.0355571	46.1557721
35	Veyrier	Genève	6.1832454	46.16778
36	Hermance	Genève	6.244375	46.302258
37	Semsalves	Fribourg	6.9273567	46.5731935
38	Montbovon	Fribourg	7.0442231	46.4882147
39	Arconciel	Fribourg	7.1214922	46.7473353
40	Avry-sur-Matran	Fribourg	7.0698887	46.7895993
41	Courtepin	Fribourg	7.1238357	46.8652994
42	Dompierre	Fribourg	6.990713	46.8520788
43	Murist	Fribourg	6.8070537	46.7898177
44	Sugiez	Fribourg	7.1134823	46.9624815
45	Montalchez	Neuchâtel	6.746543	46.8977631
46	Boudry	Neuchâtel	6.837028	46.950218
47	Corcelles	Neuchâtel	6.8624613	46.9830376
48	Landeron	Neuchâtel	7.066851	47.055508
49	Savagnier	Neuchâtel	6.956111	47.050961
50	Côte-aux-Fées	Neuchâtel	6.489867	46.866729
51	Noiraigue	Neuchâtel	6.7246751	46.9562832
52	Chaux-du-Milieu	Neuchâtel	6.7022949	47.0127695
53	Cerneux-Pêquignot	Neuchâtel	6.6661454	47.0169066
54	Lamboing	Jura bernois	7.2159458	47.0995336
55	Orvin	Jura bernois	7.250875	47.139974
56	Plagne	Jura bernois	7.284885	47.1874392
57	Sombeval	Jura bernois	7.1785922	47.1957904
58	Court	Jura bernois	7.3367958	47.239562
59	Vermes	Jura bernois	7.471447	47.329461
60	Develier	Jura bernois	7.2946	47.356623
61	Cerlatez	Jura bernois	7.027788	47.243446
62	Courtedoux	Jura bernois	7.0413733	47.4101588
